Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.11963E-12,0.000000001,0.000000002,0.996921243,0,0
2.37014E-12,0.000000003,0.000000005,0.996126726,0,0
7.68584E-12,0.00000001,0.000000015,0.994438375,0,0
1.30885E-11,0.000000026,0.000000025,0.992948654,0,0
3.30811E-11,0.000000101,0.000000064,0.989671268,0,0
5.77853E-11,0.000000251,0.000000112,0.986393882,0,0
1.53987E-10,0.000001,0.000000298,0.978746648,0,0
3.14031E-10,0.000002524,0.000000607,0.971993247,0,0
7.23632E-10,0.000010063,0.000001399,0.956897408,0,0
1.51493E-9,0.000025132,0.00000293,0.942794716,0,0
2.47253E-9,0.000050112,0.000004782,0.930281061,0,0
4.12442E-9,0.000100234,0.000007976,0.914887278,0,0
7.36669E-9,0.000250601,0.000014246,0.888668189,0,0
1.17416E-8,0.000500331,0.000022707,0.862349786,0,0
2.00207E-8,0.001001615,0.000038718,0.8300725,0,0
3.76345E-8,0.002502021,0.000072779,0.778329526,0,0
6.6804E-8,0.005006159,0.000129185,0.729963254,0,0
1.2845E-7,0.010012552,0.000248381,0.677624392,0,0
3.09238E-7,0.025027853,0.000597862,0.605223955,0,0
5.96276E-7,0.050035262,0.001152484,0.547720727,0,0
1.34016E-6,0.100099519,0.002588406,0.492700367,0,0
2.62197E-6,0.200138042,0.005057831,0.44065945,0,0
3.98775E-6,0.300281555,0.007682306,0.409971199,0,0
5.61732E-6,0.400147763,0.010804626,0.389115106,0,0
7.02976E-6,0.500654333,0.01350298,0.373324064,0,0
8.35887E-6,0.600763326,0.016035398,0.360413149,0,0
9.62571E-6,0.700884442,0.018443115,0.349389214,0,0
1.02525E-5,0.75080385,0.019632166,0.344423478,0,0
1.09929E-5,0.800791289,0.021034869,0.339755686,0,0
1.2321E-5,0.900613959,0.023546108,0.331214619,0,0
1.37468E-5,1.000913274,0.02623487,0.323567385,0,0
1.52615E-5,1.101229761,0.029083237,0.316714669,0,0
1.69805E-5,1.201043161,0.032305492,0.310557156,0,0
1.87075E-5,1.301237752,0.035532076,0.304995531,0,0
2.00595E-5,1.401968582,0.038050584,0.299831165,0,0
2.15667E-5,1.501697063,0.040850325,0.295064058,0,0
2.5736E-5,1.750859061,0.048553016,0.284636012,0,0
2.95263E-5,2.000680846,0.05550174,0.275697686,0,0
3.37702E-5,2.250227865,0.063221845,0.267851822,0,0
3.75416E-5,2.50186275,0.070029344,0.260800477,0,0
4.11654E-5,2.753991611,0.076523978,0.254444334,0,0
4.59077E-5,3.002433157,0.084954681,0.248783395,0,0
5.13176E-5,3.254235242,0.09447822,0.243619029,0,0
5.59525E-5,3.501465478,0.102558548,0.239050551,0,0
5.99091E-5,3.750254613,0.109399369,0.234780018,0,0
6.38152E-5,4.003797147,0.116101713,0.230708114,0,0
6.7555E-5,4.25352972,0.122471387,0.226934154,0,0
7.11228E-5,4.503070594,0.128505299,0.223358824,0,0
7.60517E-5,4.752988132,0.136772982,0.219982123,0,0
7.95021E-5,5.00276643,0.14251392,0.216804052,0,0
