Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.76217E-12,0.000000001,0,0.999600559,0,0
9.25577E-12,0.000000003,0.000000001,0.999400839,0,0
2.38299E-11,0.000000012,0.000000002,0.998901538,0,0
3.88931E-11,0.000000025,0.000000003,0.998502097,0,0
1.29929E-10,0.000000109,0.00000001,0.997503495,0,0
2.08691E-10,0.00000025,0.000000016,0.996604753,0,0
5.52954E-10,0.000001038,0.000000044,0.99480727,0,0
7.44066E-10,0.000002573,0.000000059,0.992410625,0,0
1.31764E-9,0.000010066,0.000000104,0.985120831,0,0
2.02882E-9,0.000025009,0.00000016,0.976233273,0,0
3.06972E-9,0.000050161,0.000000242,0.966446974,0,0
4.46172E-9,0.00010017,0.000000351,0.952965848,0,0
8.92849E-9,0.000250203,0.000000703,0.929199121,0,0
1.43481E-8,0.00050124,0.00000113,0.907629319,0,0
2.27267E-8,0.001001716,0.000001789,0.880866786,0,0
4.53599E-8,0.002501257,0.000003571,0.835530258,0,0
7.37396E-8,0.005000208,0.000005805,0.793289395,0,0
1.17051E-7,0.010001419,0.000009215,0.740363491,0,0
2.25023E-7,0.025022319,0.000017715,0.651388057,0,0
3.52451E-7,0.050023167,0.000027746,0.563011784,0,0
6.15305E-7,0.100032534,0.000048439,0.456061514,0,0
1.29552E-6,0.200075349,0.000101984,0.345915718,0,0
1.94644E-6,0.300089187,0.000153221,0.283203515,0,0
2.6674E-6,0.400063605,0.000209968,0.23956461,0,0
3.57368E-6,0.500125097,0.000281297,0.207309766,0,0
4.80593E-6,0.600192503,0.000378273,0.183343319,0,0
5.61227E-6,0.700420161,0.000441727,0.164070302,0,0
6.02793E-6,0.750391297,0.000474434,0.155482325,0,0
6.49433E-6,0.800457487,0.000511133,0.147493509,0,0
7.46612E-6,0.900032548,0.000587595,0.133213501,0,0
8.61581E-6,1.000538684,0.000678046,0.120730977,0,0
9.89917E-6,1.100239684,0.000779005,0.109946075,0,0
1.13215E-5,1.200677846,0.000890887,0.100459357,0,0
1.26671E-5,1.301263079,0.000996716,0.0920711,0,0
1.46075E-5,1.401244405,0.001149311,0.084781306,0,0
1.61495E-5,1.500742479,0.001270555,0.078290393,0,0
2.07957E-5,1.75181575,0.001635797,0.064709407,0,0
2.55803E-5,2.000202684,0.002011775,0.053924506,0,0
3.08957E-5,2.250568537,0.002429294,0.045036948,0,0
3.59814E-5,2.503543032,0.002828614,0.037447573,0,0
4.15994E-5,2.750621296,0.003269543,0.031056521,0,0
5.71236E-5,3.002372954,0.004486938,0.025863791,0,0
7.30643E-5,3.255789019,0.005735447,0.021969243,0,0
1.03908E-4,3.502000559,0.008146721,0.019173158,0,0
1.55013E-4,3.760850416,0.012129211,0.017175954,0,0
1.93221E-4,4.01698025,0.015096127,0.015678051,0,0
2.2416E-4,4.27020063,0.017492134,0.014479728,0,0
2.51667E-4,4.512226235,0.019617438,0.013481126,0,0
2.72496E-4,4.775948046,0.021223711,0.012482524,0,0
3.04401E-4,5.007274743,0.023678989,0.011683643,0,0
3.46721E-4,5.268952873,0.026926365,0.010884761,0,0
4.16399E-4,5.530419597,0.032249414,0.01018574,0,0
4.58797E-4,5.752208928,0.035474102,0.009686439,0,0
4.99823E-4,6.04544182,0.038584262,0.009087278,0,0
5.93657E-4,6.271064598,0.04566013,0.008687837,0,0
6.63804E-4,6.522483961,0.050915749,0.008288396,0,0
8.06993E-4,6.756769491,0.061554252,0.007988816,0,0
9.7099E-4,7.029841487,0.073592287,0.007689235,0,0
1.02372E-3,7.328206632,0.077430241,0.007389654,0,0
1.04531E-3,7.535870721,0.078997004,0.007189934,0,0
1.10132E-3,7.755252707,0.083048472,0.006990214,0,0
1.25522E-3,8.110331688,0.094091129,0.006690633,0,0
1.27805E-3,8.364210264,0.095718057,0.006490913,0,0
1.53834E-3,8.653420691,0.114059538,0.006291192,0,0
1.99375E-3,8.852796156,0.1452597,0.006191332,0,0
2.11833E-3,9.06462906,0.15360123,0.006091472,0,0
2.31205E-3,9.295833849,0.16641126,0.005991612,0,0
