Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.6209E-11,0.000000002,0.000000033,0.999802117,0,0
3.25061E-11,0.000000005,0.000000067,0.999703176,0,0
6.28259E-11,0.000000011,0.000000129,0.999604235,0,0
7.71945E-11,0.000000032,0.000000159,0.999307411,0,0
1.17873E-10,0.000000107,0.000000242,0.998614821,0,0
1.94997E-10,0.000000266,0.000000401,0.997625408,0,0
4.38288E-10,0.000001026,0.000000901,0.995151875,0,0
8.04231E-10,0.000002537,0.000001654,0.992777283,0,0
1.91707E-9,0.00001014,0.000003942,0.986741862,0,0
3.75527E-9,0.000025302,0.000007721,0.98139903,0,0
6.20266E-9,0.000050333,0.000012753,0.976353023,0,0
1.01898E-8,0.000100476,0.000020951,0.970317602,0,0
1.80924E-8,0.000250381,0.000037199,0.959532997,0,0
2.60125E-8,0.000500562,0.000053483,0.948253686,0,0
3.89568E-8,0.001002838,0.000080097,0.932719897,0,0
7.2145E-8,0.002500858,0.000148328,0.905412091,0,0
1.17333E-7,0.00500998,0.000241221,0.878895815,0,0
1.99962E-7,0.010007217,0.000411062,0.846640942,0,0
4.32552E-7,0.025031914,0.000888985,0.797467102,0,0
7.62386E-7,0.05002879,0.001566331,0.755021272,0,0
1.37818E-6,0.100028353,0.002829693,0.707232611,0,0
2.64572E-6,0.200189705,0.005425164,0.656277827,0,0
3.80576E-6,0.300211123,0.007794565,0.625408133,0,0
4.96843E-6,0.400059942,0.010163695,0.602750569,0,0
5.90447E-6,0.500325909,0.01206692,0.584545365,0,0
6.71804E-6,0.600496183,0.013718141,0.568912635,0,0
7.39626E-6,0.700234466,0.015092569,0.554961908,0,0
7.68065E-6,0.750738265,0.015668312,0.548332839,0,0
8.01897E-6,0.800225781,0.016352795,0.542099535,0,0
8.83248E-6,0.900838105,0.017996744,0.530325517,0,0
9.52972E-6,1.000874569,0.019403544,0.519540912,0,0
1.02293E-5,1.100870489,0.020813076,0.509547838,0,0
1.09135E-5,1.200168734,0.022189653,0.500247353,0,0
1.16918E-5,1.300535999,0.023753202,0.491441575,0,0
1.23142E-5,1.401138475,0.025001662,0.483130504,0,0
1.29898E-5,1.500010116,0.026355189,0.47541308,0,0
1.45501E-5,1.750733619,0.029473664,0.457405758,0,0
1.60903E-5,2.00030616,0.032542431,0.441278322,0,0
1.78268E-5,2.251443155,0.035990387,0.426635005,0,0
1.94904E-5,2.501752429,0.039282367,0.413376868,0,0
2.12992E-5,2.750203833,0.042848668,0.401306026,0,0
2.31075E-5,3.000091168,0.04640091,0.390224597,0,0
2.47928E-5,3.251487958,0.049699441,0.379835757,0,0
2.63991E-5,3.502577515,0.052832884,0.370139507,0,0
2.80063E-5,3.752540102,0.055957779,0.361036905,0,0
2.9959E-5,4.001689011,0.059740449,0.352527951,0,0
3.16731E-5,4.251966203,0.063048525,0.344513703,0,0
