Predictor variable,Categorical,Sample average
elevation,false,341.3170731707317
max temperature of warmest month,false,31.601626016260163
mean diurnal range,false,10.278819444702894
min temperature of coldest month,false,17.48780487804878
precipitation of coldest quarter,false,268.1707317073171
precipitation of driest quarter,false,65.69918699186992
precipitation of warmest quarter,false,228.72357723577235
precipitation of wettest quarter,false,587.0081300813008
precipitation seasonality,false,81.43870297873893
temperature annual range,false,14.130081300813009
