Predictor variable,Categorical,Sample average
elevation,false,3520.0670391061453
max temperature of warmest month,false,19.189944134078214
mean diurnal range,false,14.963063676930007
min temperature of coldest month,false,-2.7374301675977653
precipitation of coldest quarter,false,20.43016759776536
precipitation of driest quarter,false,17.972067039106147
precipitation of warmest quarter,false,216.79329608938548
precipitation of wettest quarter,false,280.1787709497207
precipitation seasonality,false,103.59557395807191
temperature annual range,false,21.93854748603352
