Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.94234E-12,0.000000001,0.000000012,0.99980442,0,0
1.45741E-11,0.000000004,0.000000029,0.99960884,0,0
3.0223E-11,0.000000012,0.000000061,0.99931547,0,0
4.66672E-11,0.000000027,0.000000094,0.998924311,0,0
1.12606E-10,0.000000104,0.000000226,0.997946411,0,0
2.18179E-10,0.000000251,0.000000438,0.997066302,0,0
4.01675E-10,0.000001029,0.000000807,0.994621553,0,0
6.49867E-10,0.000002512,0.000001306,0.991785644,0,0
1.12068E-9,0.000010004,0.000002252,0.983766869,0,0
1.53831E-9,0.000025038,0.000003092,0.972716605,0,0
2.08872E-9,0.000050003,0.000004198,0.959221592,0,0
3.31166E-9,0.000100188,0.000006656,0.941032662,0,0
6.01677E-9,0.000250103,0.000012092,0.909055349,0,0
9.55076E-9,0.000500879,0.000019194,0.877175826,0,0
1.52429E-8,0.001000958,0.000030634,0.836592998,0,0
4.29211E-8,0.002500471,0.000086257,0.779777039,0,0
9.13137E-8,0.005005204,0.000183501,0.742519069,0,0
1.80899E-7,0.010002366,0.000363496,0.705750049,0.003731343,0
4.7804E-7,0.025000215,0.000960281,0.658224135,0.003731343,0
9.311E-7,0.050064225,0.001869533,0.622041854,0.003731343,0
1.80547E-6,0.100002935,0.003621979,0.585859574,0.003731343,0
3.15522E-6,0.200261226,0.006321145,0.545863485,0.003731343,0
4.38095E-6,0.300261558,0.00876598,0.519655779,0.003731343,0
5.47274E-6,0.400002116,0.010938594,0.49980442,0.003731343,0
6.59342E-6,0.500352903,0.013163736,0.483473499,0.003731343,0
7.62382E-6,0.600426596,0.015205216,0.469685116,0.003731343,0
8.56651E-6,0.700726552,0.017069226,0.457559163,0.003731343,0
8.99331E-6,0.750886829,0.017911988,0.451985136,0.003731343,0
9.50151E-6,0.80085786,0.018914528,0.446704479,0.003731343,0
1.04084E-5,0.900264121,0.020700962,0.436925484,0.003731343,0
1.11521E-5,1.000236573,0.022163656,0.427831019,0.003731343,0
1.17766E-5,1.101117558,0.023390168,0.419225504,0.003731343,0
1.26075E-5,1.20114464,0.02501975,0.411206728,0.003731343,0
1.34378E-5,1.300938031,0.026645163,0.403676902,0.003731343,0
1.43123E-5,1.400772005,0.02835441,0.396636026,0.003731343,0
1.51352E-5,1.50126783,0.029960004,0.389986309,0.003731343,0
1.75931E-5,1.750398606,0.034739971,0.375122237,0.003731343,0
1.98739E-5,2.001167667,0.039154422,0.361920595,0.003731343,0
2.25685E-5,2.250672705,0.04434389,0.350381381,0.003731343,0
2.55016E-5,2.501873403,0.049960674,0.340113436,0.003731343,0
2.83031E-5,2.752312663,0.055294651,0.331018971,0.003731343,0
3.05042E-5,3.001194042,0.059464609,0.322706826,0.003731343,0
3.29222E-5,3.252325353,0.064024174,0.31498142,0.003731343,0
3.50323E-5,3.500399958,0.067984976,0.307842754,0.003731343,0
3.78528E-5,3.750492349,0.073253231,0.301095247,0.003731343,0
3.97328E-5,4.002611977,0.076748095,0.294738901,0.003731343,0
4.17354E-5,4.251657364,0.080456543,0.288773714,0.003731343,0
4.40088E-5,4.500347189,0.084648343,0.283101897,0.003731343,0
4.55152E-5,4.750759923,0.087415353,0.27762566,0.003731343,0
4.71673E-5,5.000920578,0.090440301,0.272345003,0.007462687,0
4.92119E-5,5.251503026,0.094170251,0.267259926,0.007462687,0
5.14947E-5,5.503290054,0.09831655,0.262370428,0.007462687,0
5.31889E-5,5.754484229,0.101381387,0.257676511,0.01119403,0
5.54854E-5,6.003814328,0.105519349,0.253178173,0.014925373,0
5.70147E-5,6.250961224,0.108264344,0.248875416,0.014925373,0
5.88849E-5,6.500198487,0.111609742,0.244670448,0.014925373,0
6.13923E-5,6.753211928,0.116075263,0.24056327,0.018656716,0
6.43988E-5,7.004701044,0.121400243,0.236651672,0.018656716,0
6.6636E-5,7.254004617,0.125341773,0.232935654,0.018656716,0
6.88629E-5,7.504771664,0.129247437,0.229317426,0.018656716,0
7.17323E-5,7.75076079,0.134254557,0.225894778,0.02238806,0
7.44353E-5,8.007027189,0.138944835,0.22247213,0.026119403,0
7.68348E-5,8.257013493,0.143087205,0.219245062,0.026119403,0
7.85153E-5,8.50559365,0.145976382,0.216115783,0.026119403,0
8.09202E-5,8.753343786,0.150094126,0.213084295,0.026119403,0
8.37439E-5,9.000281474,0.154903717,0.210150597,0.029850746,0
8.52521E-5,9.25370575,0.157461461,0.207216898,0.029850746,0
8.72777E-5,9.503911223,0.160884417,0.20438099,0.029850746,0
8.98332E-5,9.751934896,0.165183012,0.201642871,0.029850746,0
9.13924E-5,10.005967745,0.167794829,0.198904753,0.029850746,0
9.39571E-5,10.256373666,0.17207336,0.196264424,0.03358209,0
9.62056E-5,10.503123204,0.175806166,0.193721885,0.03358209,0
9.7947E-5,10.755228676,0.178685653,0.191179347,0.037313433,0
1.00083E-4,11.00268356,0.182203256,0.188734598,0.048507463,0
1.01868E-4,11.255368935,0.185133192,0.186289849,0.052238806,0
1.04138E-4,11.502510296,0.188842058,0.183942891,0.055970149,0
