Predictor variable,Categorical,Sample average
elevation,false,262.52985074626866
max temperature of warmest month,false,30.470149253731343
mean diurnal range,false,11.716511608949348
min temperature of coldest month,false,6.608208955223881
precipitation of coldest quarter,false,205.27985074626866
precipitation of driest quarter,false,180.8097014925373
precipitation of warmest quarter,false,313.96268656716416
precipitation of wettest quarter,false,347.23880597014926
precipitation seasonality,false,34.32012964540453
temperature annual range,false,23.87313432835821
