Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.331E-11,0.000000003,0.000000006,0.999800896,0,0
3.72134E-11,0.000000013,0.000000009,0.99950224,0,0
4.62994E-11,0.000000026,0.000000011,0.999203584,0,0
9.02508E-11,0.000000103,0.000000022,0.998108512,0,0
1.37515E-10,0.000000264,0.000000033,0.996714783,0,0
2.49559E-10,0.000001008,0.00000006,0.993031359,0,0
3.70569E-10,0.000002515,0.00000009,0.988252862,0,0
7.3071E-10,0.000010034,0.000000177,0.974415132,0,0
1.0589E-9,0.000025049,0.000000256,0.957789945,0,0
1.49707E-9,0.000050111,0.000000362,0.938178198,0,0
2.10017E-9,0.000100045,0.000000508,0.910502738,0,0
3.60213E-9,0.000250074,0.000000871,0.857541065,0,0
5.88772E-9,0.000500268,0.000001424,0.804280737,0,0
1.01872E-8,0.001000005,0.000002464,0.741762071,0,0
2.15814E-8,0.002500105,0.000005219,0.644400199,0,0
3.82291E-8,0.005002224,0.000009245,0.558885017,0,0
7.26802E-8,0.010001821,0.000017576,0.465604778,0,0
1.83729E-7,0.025009857,0.000044431,0.338675958,0,0
4.02335E-7,0.050023024,0.000097294,0.248680936,0,0
1.00056E-6,0.100010682,0.000241941,0.169935291,0,0
2.93237E-6,0.200188427,0.000708898,0.115679443,0,0
5.39746E-6,0.300260138,0.001304444,0.090691887,0,0
8.22546E-6,0.400266602,0.001987228,0.075958188,0,0
1.19898E-5,0.500691178,0.002895361,0.065903435,0,0
1.65101E-5,0.601000709,0.003984772,0.058735689,0,0
2.45465E-5,0.700494744,0.005918612,0.053658537,0,0
2.77172E-5,0.75019672,0.006680583,0.051767048,0,0
3.18883E-5,0.80059236,0.007682048,0.050074664,0,0
3.92537E-5,0.903858187,0.009447999,0.047187656,0,0
4.8616E-5,1.000703995,0.011688223,0.044997511,0,0
5.72161E-5,1.102006838,0.013741577,0.043106023,0,0
6.55096E-5,1.200908035,0.015717691,0.041513191,0,0
7.1839E-5,1.304289494,0.017223154,0.04001991,0,0
8.39093E-5,1.40798398,0.020087719,0.038725734,0,0
9.40932E-5,1.506665217,0.022498114,0.037630662,0,0
1.23132E-4,1.759365674,0.029338716,0.035340966,0,0
1.46022E-4,2.002886312,0.034697027,0.033549029,0,0
1.89063E-4,2.255305731,0.044692506,0.032055749,0,0
2.09575E-4,2.513120484,0.049419769,0.030761573,0,0
2.65388E-4,2.756537923,0.062163886,0.029766053,0,0
3.05866E-4,3.01454284,0.071299748,0.028870085,0,0
3.23139E-4,3.268283299,0.075171047,0.028073668,0,0
3.55796E-4,3.508407717,0.082446075,0.027376804,0,0
4.03704E-4,3.779915746,0.093015397,0.02667994,0,0
4.41866E-4,4.03650011,0.101347393,0.026082628,0,0
4.62865E-4,4.264638447,0.10589942,0.025584868,0,0
4.89515E-4,4.505638172,0.111643362,0.025087108,0,0
5.61129E-4,4.774639048,0.12689602,0.024589348,0,0
5.97773E-4,5.009416772,0.134599227,0.02419114,0,0
6.53205E-4,5.259908487,0.146122801,0.023792932,0,0
6.77889E-4,5.526395258,0.151204835,0.023394724,0,0
7.12273E-4,5.804718563,0.158233466,0.022996516,0,0
7.52652E-4,6.024947888,0.166413368,0.02269786,0,0
7.79979E-4,6.256492979,0.171904079,0.022399204,0,0
8.10311E-4,6.577554977,0.177956254,0.022000996,0,0
8.87864E-4,6.835289024,0.193230114,0.021702339,0,0
9.02728E-4,7.014955278,0.196124888,0.021503235,0,0
9.07723E-4,7.286829369,0.197095398,0.021204579,0,0
9.67655E-4,7.573478553,0.208648485,0.020905923,0,0
9.74843E-4,7.768408375,0.210022869,0.020706819,0,0
1.04993E-3,8.080339134,0.224239101,0.020408163,0,0
1.07128E-3,8.293156162,0.228233312,0.020209059,0,0
1.07716E-3,8.508176758,0.22932984,0.020009955,0,0
1.10927E-3,8.838455658,0.23529089,0.019711299,0,0
1.16691E-3,9.068648472,0.245876682,0.019512195,0,0
1.24521E-3,9.317501182,0.260022449,0.019313091,0,0
1.25382E-3,9.56791011,0.261562598,0.019113987,0,0
1.32893E-3,9.830453204,0.274853106,0.018914883,0,0
1.39213E-3,10.10413886,0.285852854,0.018715779,0.01754386,0
1.4063E-3,10.384619292,0.288294976,0.018516675,0.01754386,0
1.44016E-3,10.528635185,0.294099585,0.018417123,0.035087719,0
1.50584E-3,10.828900135,0.305222704,0.018218019,0.035087719,0
1.52817E-3,11.132820917,0.308965171,0.018018915,0.035087719,0
1.63128E-3,11.295948793,0.325983446,0.017919363,0.035087719,0
1.72232E-3,11.633084543,0.340660926,0.017720259,0.035087719,0
1.73369E-3,11.806453678,0.342471767,0.017620707,0.035087719,0
1.74516E-3,12.154816094,0.34429227,0.017421603,0.035087719,0
1.81286E-3,12.336102096,0.354940905,0.017322051,0.035087719,0
1.85404E-3,12.52150584,0.361332623,0.017222499,0.035087719,0
1.87685E-3,12.894994799,0.364845703,0.017023395,0.035087719,0
1.91223E-3,13.086218038,0.370258009,0.016923843,0.035087719,0
1.91762E-3,13.277979741,0.371077523,0.016824291,0.035087719,0
2.00102E-3,13.672087145,0.383636131,0.016625187,0.052631579,0
2.0061E-3,13.872696744,0.384391828,0.016525635,0.052631579,0
2.07853E-3,14.080549881,0.395081794,0.016426083,0.070175439,0
2.0796E-3,14.288509849,0.395238058,0.016326531,0.070175439,0
2.09561E-3,14.706232362,0.397574517,0.016127427,0.070175439,0
2.09981E-3,14.916213068,0.398186232,0.016027875,0.087719298,0
2.17062E-3,15.133275117,0.408404655,0.015928323,0.087719298,0
2.18355E-3,15.351629737,0.410251032,0.015828771,0.105263158,0
2.20436E-3,15.572066079,0.413212563,0.015729219,0.105263158,0
2.22131E-3,15.794197486,0.415613038,0.015629667,0.105263158,0
2.2221E-3,16.01640736,0.415723921,0.015530114,0.105263158,0
2.2813E-3,16.467549995,0.424029212,0.01533101,0.105263158,0
2.30622E-3,16.698172344,0.427490524,0.015231458,0.105263158,0
2.34616E-3,16.932788793,0.432993853,0.015131906,0.105263158,0
2.35321E-3,17.168109442,0.433958644,0.015032354,0.105263158,0
2.3721E-3,17.40531961,0.436539283,0.014932802,0.105263158,0
2.42956E-3,17.648275778,0.444314898,0.01483325,0.105263158,0
2.46524E-3,17.894800175,0.449089404,0.014733698,0.105263158,0
2.46938E-3,18.141738565,0.44964069,0.014634146,0.105263158,0
2.50352E-3,18.392090217,0.454164916,0.014534594,0.105263158,0
2.50577E-3,18.642667105,0.45446215,0.014435042,0.105263158,0
2.5571E-3,18.898377096,0.461192406,0.01433549,0.105263158,0
2.64243E-3,19.162620303,0.472197469,0.014235938,0.105263158,0
2.68725E-3,19.431345777,0.477887794,0.014136386,0.105263158,0
2.73811E-3,19.705156935,0.48426991,0.014036834,0.105263158,0
2.7579E-3,19.980946519,0.486731544,0.013937282,0.105263158,0
2.77766E-3,20.258712288,0.489178657,0.01383773,0.105263158,0
2.83036E-3,20.541748505,0.495648165,0.013738178,0.105263158,0
2.83939E-3,20.825687184,0.4967477,0.013638626,0.122807018,0
2.96511E-3,21.122198016,0.511818264,0.013539074,0.122807018,0
3.0743E-3,21.429628357,0.524541057,0.013439522,0.122807018,0
3.0811E-3,21.737738764,0.525322373,0.01333997,0.122807018,0
3.08882E-3,22.046620648,0.526207156,0.013240418,0.122807018,0
3.0963E-3,22.356250894,0.52706385,0.013140866,0.122807018,0
3.15861E-3,22.67211216,0.534137006,0.013041314,0.122807018,0
