Predictor variable,Categorical,Sample average
elevation,false,588.438596491228
max temperature of warmest month,false,19.87719298245614
mean diurnal range,false,9.540606138999003
min temperature of coldest month,false,0.9824561403508771
precipitation of coldest quarter,false,680.7017543859649
precipitation of driest quarter,false,206.89473684210526
precipitation of warmest quarter,false,210.03508771929825
precipitation of wettest quarter,false,704.7368421052631
precipitation seasonality,false,57.04016499770315
temperature annual range,false,18.982456140350877
