Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.22333E-13,0.000000001,0.000000001,0.992833624,0,0
8.00499E-13,0.000000003,0.000000001,0.990509394,0,0
2.45653E-12,0.00000001,0.000000003,0.985764091,0,0
4.85438E-12,0.000000025,0.000000007,0.981696688,0,0
1.40204E-11,0.000000101,0.00000002,0.973368197,0,0
2.74514E-11,0.000000252,0.000000039,0.966395506,0,0
7.87584E-11,0.000001004,0.000000111,0.951288011,0,0
1.45041E-10,0.000002506,0.000000204,0.938117374,0,0
4.17013E-10,0.00001004,0.000000586,0.909742398,0,0
8.82133E-10,0.000025073,0.00000124,0.886112725,0,0
1.53946E-9,0.000050011,0.000002165,0.865872555,0,0
2.94318E-9,0.000100197,0.000004139,0.843792369,0,0
6.49849E-9,0.000250643,0.000009138,0.81067209,0,0
1.13274E-8,0.000500488,0.000015928,0.7831687,0,0
1.98882E-8,0.001000683,0.000027966,0.751307379,0,0
4.1328E-8,0.002500695,0.000058113,0.70259539,0,0
7.37236E-8,0.005004369,0.000103664,0.659500291,0,0
1.55902E-7,0.010006861,0.000219204,0.615436762,0,0
3.92605E-7,0.025027794,0.000551925,0.559558396,0,0
7.23164E-7,0.050042281,0.001016391,0.515301181,0,0
1.39182E-6,0.100027162,0.001955256,0.467751307,0,0
2.44913E-6,0.200171851,0.003438024,0.415940345,0,0
3.56538E-6,0.300088698,0.005001064,0.383594809,0.002624672,0
4.68027E-6,0.400374653,0.006559752,0.359771451,0.002624672,0
5.90156E-6,0.500204968,0.008264394,0.341564982,0.002624672,0
7.46293E-6,0.600423595,0.010439448,0.326941701,0.002624672,0
8.61712E-6,0.700674644,0.01204421,0.314836335,0.002624672,0
9.15259E-6,0.75035508,0.012787838,0.309413132,0.002624672,0
9.84389E-6,0.800621445,0.013747041,0.304280457,0.002624672,0
1.11937E-5,0.900514336,0.015617232,0.29508038,0.002624672,0
1.24007E-5,1.000915051,0.017286675,0.286848731,0.002624672,0
1.39795E-5,1.100400871,0.019465899,0.279488669,0.002624672,0
1.52577E-5,1.200854795,0.021226701,0.272806508,0.002624672,0
1.67083E-5,1.300841453,0.023221208,0.266802247,0.002624672,0
1.78568E-5,1.400035383,0.024797407,0.2612822,0.002624672,0
1.90701E-5,1.50009596,0.026459849,0.256052683,0.002624672,0
2.14383E-5,1.751208005,0.029696505,0.24404416,0.002624672,0
2.4456E-5,2.001975626,0.033805167,0.233391439,0.002624672,0
2.78916E-5,2.25109114,0.038461751,0.224191362,0.005249344,0
3.07832E-5,2.502639994,0.042363622,0.21586287,0.005249344,0
3.37803E-5,2.750541872,0.046391115,0.208405966,0.007874016,0
3.72987E-5,3.001266749,0.051097384,0.201530118,0.007874016,0
4.116E-5,3.253916685,0.0562357,0.195332171,0.010498688,0
4.4039E-5,3.501174503,0.060048732,0.189715282,0.01312336,0
4.75236E-5,3.753493585,0.064643339,0.184388921,0.015748031,0
5.19668E-5,4.003092424,0.07046919,0.179546775,0.015748031,0
5.53463E-5,4.250309466,0.074876041,0.175092001,0.020997375,0
5.86488E-5,4.501241789,0.079162282,0.170830912,0.023622047,0
6.20315E-5,4.754215129,0.083532096,0.16676351,0.023622047,0
6.43453E-5,5.000325599,0.086509166,0.162986636,0.023622047,0
6.75628E-5,5.250871966,0.09063285,0.159306605,0.026246719,0
7.12758E-5,5.500570536,0.095368425,0.15582026,0.026246719,0
