Predictor variable,Categorical,Sample average
elevation,false,523.9711286089239
max temperature of warmest month,false,28.496062992125985
mean diurnal range,false,10.858735498793795
min temperature of coldest month,false,9.627296587926509
precipitation of coldest quarter,false,246.2257217847769
precipitation of driest quarter,false,232.5511811023622
precipitation of warmest quarter,false,526.1522309711286
precipitation of wettest quarter,false,571.2152230971128
precipitation seasonality,false,39.89007739069581
temperature annual range,false,18.83989501312336
