Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.16883E-9,0.000000117,0.000000849,1,0,0
2.68922E-9,0.000000386,0.000001954,0.999900567,0,0
3.43246E-9,0.000001042,0.000002494,0.9997017,0,0
4.7457E-9,0.000002783,0.000003448,0.999303967,0,0
7.98997E-9,0.000010231,0.000005804,0.998210202,0,0
8.66281E-9,0.000025307,0.000006293,0.996420404,0,0
1.05412E-8,0.000050069,0.000007658,0.99383514,0,0
1.20568E-8,0.000100355,0.000008759,0.989460078,0,0
1.481E-8,0.000251286,0.000010759,0.978224123,0,0
1.78975E-8,0.000500817,0.000013002,0.963010838,0,0
2.25188E-8,0.001000349,0.000016359,0.938351397,0,0
3.55458E-8,0.002502683,0.000025822,0.886447251,0,0
5.06856E-8,0.005003692,0.00003682,0.828079944,0,0
8.60894E-8,0.010000862,0.000062538,0.753405588,0,0
2.11044E-7,0.025008409,0.000153301,0.645321667,0,0
4.54717E-7,0.050042759,0.000330275,0.567465447,0,0
9.25215E-7,0.100051443,0.000671897,0.492293925,0,0
1.6949E-6,0.200056176,0.001230502,0.415332604,0,0
2.50763E-6,0.300105701,0.001820007,0.367306354,0,0
3.26738E-6,0.400165401,0.002370773,0.332902456,0,0
4.18009E-6,0.500079709,0.003032024,0.306154917,0.014925373,0
5.09635E-6,0.600079347,0.003695402,0.284776772,0.014925373,0
6.16752E-6,0.700375562,0.00447037,0.266978224,0.014925373,0
6.61729E-6,0.750157219,0.004795594,0.259222432,0.014925373,0
7.10975E-6,0.800382092,0.005151562,0.251963806,0.014925373,0
8.23969E-6,0.900224234,0.005967847,0.239037486,0.014925373,0
9.581E-6,1.000123667,0.006935948,0.227900965,0.014925373,0
1.12345E-5,1.100255785,0.008128119,0.218255941,0.014925373,0
1.29579E-5,1.201151181,0.009369103,0.20990355,0.014925373,0
1.4893E-5,1.30024916,0.010760698,0.202744357,0.014925373,0
1.67905E-5,1.400411361,0.012123368,0.196480064,0.014925373,0
1.89334E-5,1.501784817,0.013659978,0.190812369,0.014925373,0
2.45061E-5,1.751475785,0.017644923,0.179377548,0.014925373,0
2.9748E-5,2.000747217,0.021378616,0.170229691,0.014925373,0
3.43263E-5,2.250130729,0.024628005,0.162473899,0.014925373,0
3.82215E-5,2.500924999,0.027384087,0.155613006,0.014925373,0
4.1259E-5,2.75079967,0.029527902,0.149348712,0.014925373,0
4.50225E-5,3.002020208,0.032177526,0.143581585,0.014925373,0
4.80439E-5,3.253944587,0.034299483,0.138212191,0.014925373,0
5.18314E-5,3.504058351,0.036952843,0.133240529,0.029850746,0
5.56104E-5,3.752105534,0.039593026,0.1286666,0.029850746,0
5.93811E-5,4.005177115,0.042220235,0.124291538,0.029850746,0
6.26769E-5,4.255875547,0.044510624,0.120214776,0.029850746,0
6.5771E-5,4.500627251,0.046655885,0.116436313,0.029850746,0
7.04015E-5,4.752334253,0.049857385,0.112757283,0.029850746,0
7.48969E-5,5.006247065,0.052955178,0.10927712,0.029850746,0
7.83538E-5,5.251878021,0.055330485,0.106095257,0.029850746,0
8.22507E-5,5.501160511,0.058000938,0.103012827,0.029850746,0
8.67169E-5,5.754156568,0.061052286,0.10002983,0.029850746,0
9.19977E-5,6.005453056,0.06464742,0.0972457,0.029850746,0
9.5848E-5,6.258906584,0.067259959,0.094561002,0.029850746,0
9.97985E-5,6.501824444,0.069932971,0.092075172,0.029850746,0
1.05558E-4,6.757215137,0.073816446,0.089589341,0.029850746,0
1.12312E-4,7.007510368,0.078349527,0.087302376,0.029850746,0
1.18271E-4,7.261541039,0.082330737,0.085114845,0.029850746,0
1.22933E-4,7.502460356,0.085432817,0.083126181,0.029850746,0
1.28876E-4,7.755397173,0.08937277,0.081137516,0.044776119,0
1.32296E-4,8.003861059,0.091632849,0.079248285,0.044776119,0
1.39238E-4,8.262675541,0.0962023,0.077359053,0.044776119,0
1.4615E-4,8.505076456,0.100728566,0.075668688,0.044776119,0
1.53411E-4,8.759870387,0.105459914,0.073978324,0.044776119,0
1.60355E-4,9.011187341,0.109961161,0.072387392,0.044776119,0
1.66023E-4,9.257105576,0.113617822,0.070895893,0.044776119,0
1.70669E-4,9.50978274,0.11660475,0.069404395,0.044776119,0
1.80058E-4,9.755417526,0.122609786,0.06801233,0.044776119,0
1.91798E-4,10.015420163,0.130060496,0.066620264,0.044776119,0
2.00894E-4,10.269379592,0.135790159,0.065327632,0.044776119,0
2.11265E-4,10.518559017,0.142276551,0.064134434,0.044776119,0
2.26065E-4,10.759390891,0.15144874,0.063040668,0.044776119,0
2.33123E-4,11.011431699,0.155788637,0.061946903,0.044776119,0
2.50599E-4,11.254037487,0.166438384,0.06095257,0.044776119,0
2.58278E-4,11.509441592,0.171075651,0.059958238,0.044776119,0
2.65703E-4,11.772088408,0.17553473,0.058963906,0.044776119,0
2.74753E-4,12.015200508,0.180936787,0.058069007,0.059701493,0
2.82585E-4,12.266473384,0.185584044,0.057174108,0.059701493,0
2.90034E-4,12.52400757,0.18997915,0.056279209,0.059701493,0
3.00763E-4,12.761988521,0.196267731,0.055483743,0.059701493,0
3.04261E-4,13.004606652,0.19830771,0.054688277,0.059701493,0
3.12892E-4,13.251997938,0.203318537,0.053892811,0.074626866,0
3.18214E-4,13.50429744,0.206392619,0.053097345,0.074626866,0
3.27386E-4,13.762682619,0.211663199,0.052301879,0.074626866,0
3.32604E-4,14.026641029,0.214645479,0.051506413,0.074626866,0
3.43593E-4,14.263559868,0.220890337,0.050810381,0.074626866,0
3.46935E-4,14.50539843,0.222779156,0.050114348,0.074626866,0
3.51819E-4,14.750311996,0.225531932,0.049418316,0.074626866,0
3.68705E-4,15.036056376,0.23497442,0.04862285,0.074626866,0
3.78503E-4,15.260332173,0.240399913,0.04802625,0.074626866,0
3.84482E-4,15.52778725,0.243692141,0.047330218,0.089552239,0
3.9369E-4,15.761235371,0.248734568,0.046733618,0.089552239,0
3.98251E-4,16.038356442,0.251219388,0.046037586,0.089552239,0
4.02452E-4,16.278397795,0.253501316,0.045440986,0.104477612,0
4.13883E-4,16.524755112,0.259674557,0.044844387,0.104477612,0
4.22111E-4,16.77657669,0.26408628,0.044247788,0.104477612,0
4.31444E-4,17.033037939,0.269058743,0.043651188,0.104477612,0
4.35744E-4,17.293087713,0.271338461,0.043054589,0.104477612,0
4.42675E-4,17.5128615,0.274998231,0.042557423,0.104477612,0
4.50818E-4,17.782105322,0.279274262,0.041960823,0.119402985,0
4.74973E-4,18.014969995,0.291810983,0.041463657,0.119402985,0
4.81038E-4,18.254549642,0.294924398,0.040966491,0.119402985,0
5.02587E-4,18.547717082,0.30587597,0.040369892,0.119402985,0
5.10066E-4,18.750960363,0.309636829,0.039972159,0.134328358,0
5.27099E-4,19.010399262,0.318126408,0.039474993,0.134328358,0
5.41942E-4,19.277709597,0.325439506,0.038977826,0.134328358,0
5.62757E-4,19.555596634,0.335562684,0.03848066,0.134328358,0
5.8227E-4,19.7838996,0.344914813,0.038082927,0.134328358,0
5.93621E-4,20.019165674,0.350294196,0.037685194,0.134328358,0
6.13997E-4,20.260944851,0.359840406,0.037287461,0.134328358,0
6.50745E-4,20.515962611,0.376703803,0.036889729,0.134328358,0
6.63309E-4,20.77908422,0.382366751,0.036491996,0.149253731,0
7.02046E-4,21.0538457,0.399505331,0.036094263,0.149253731,0
7.16021E-4,21.267172484,0.405570473,0.035795963,0.149253731,0
7.34462E-4,21.557646106,0.413480877,0.03539823,0.164179104,0
7.58054E-4,21.781649697,0.423447253,0.03509993,0.164179104,0
7.75088E-4,22.012161943,0.430537781,0.034801631,0.164179104,0
7.93819E-4,22.326343026,0.438233972,0.034403898,0.164179104,0
8.03095E-4,22.566242935,0.44200656,0.034105598,0.164179104,0
8.3397E-4,22.813360934,0.454382545,0.033807298,0.164179104,0
8.55852E-4,23.068043352,0.462987522,0.033508999,0.164179104,0
8.76313E-4,23.328766536,0.470910405,0.033210699,0.179104478,0
8.78892E-4,23.504396472,0.471900955,0.033011833,0.179104478,0
8.84798E-4,23.769662022,0.474161791,0.032713533,0.194029851,0
9.0939E-4,24.042187045,0.483472143,0.032415233,0.208955224,0
9.32544E-4,24.319930022,0.492087848,0.032116933,0.208955224,0
9.40593E-4,24.507480225,0.495048967,0.031918067,0.208955224,0
9.59106E-4,24.793281635,0.501794451,0.031619767,0.208955224,0
9.7485E-4,25.084138004,0.507460056,0.031321468,0.208955224,0
1.01289E-3,25.284464488,0.520884596,0.031122601,0.208955224,0
1.03346E-3,25.592737852,0.527990464,0.030824301,0.223880597,0
1.03747E-3,25.799934311,0.529362927,0.030625435,0.223880597,0
1.04816E-3,26.008544117,0.533003325,0.030426569,0.223880597,0
1.06209E-3,26.326373272,0.537707316,0.030128269,0.223880597,0
1.07674E-3,26.54112762,0.54260172,0.029929402,0.223880597,0
1.09589E-3,26.759409625,0.548918437,0.029730536,0.223880597,0
1.10627E-3,27.090583423,0.5523066,0.029432236,0.223880597,0
1.1275E-3,27.314208869,0.559158783,0.02923337,0.223880597,0
1.13819E-3,27.5413207,0.56256831,0.029034503,0.223880597,0
1.15582E-3,27.772066633,0.568136168,0.028835637,0.223880597,0
1.16433E-3,28.004924685,0.570796425,0.02863677,0.23880597,0
1.18951E-3,28.361267489,0.578577699,0.028338471,0.23880597,0
1.19223E-3,28.599662504,0.579409539,0.028139604,0.23880597,0
1.20251E-3,28.840129784,0.582539854,0.027940738,0.23880597,0
1.22104E-3,29.08307499,0.588119227,0.027741871,0.23880597,0
1.23147E-3,29.329146765,0.591230426,0.027543005,0.23880597,0
