Predictor variable,Categorical,Sample average
elevation,false,3637.5223880597014
max temperature of warmest month,false,18.55223880597015
mean diurnal range,false,15.606578955009802
min temperature of coldest month,false,-5.477611940298507
precipitation of coldest quarter,false,23.402985074626866
precipitation of driest quarter,false,12.074626865671641
precipitation of warmest quarter,false,174.23880597014926
precipitation of wettest quarter,false,223.40298507462686
precipitation seasonality,false,101.90686413779187
temperature annual range,false,24.074626865671643
