Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.28388E-14,0.000000001,0,0.918251518,0,0
1.44793E-13,0.000000003,0,0.904211889,0,0
4.85412E-13,0.00000001,0,0.878422782,0,0
1.03946E-12,0.000000025,0,0.857811411,0,0
3.45731E-12,0.0000001,0.000000001,0.820770686,0,0
8.21148E-12,0.00000025,0.000000003,0.793886289,0,0
3.35675E-11,0.000001002,0.000000013,0.752464403,0,0
8.77369E-11,0.000002505,0.000000033,0.725878721,0,0
3.00513E-10,0.000010014,0.000000114,0.68196754,0,0
6.54061E-10,0.000025045,0.000000248,0.648810116,0,0
1.07083E-9,0.000050092,0.000000406,0.619735139,0,0
1.82388E-9,0.000100104,0.000000692,0.584984566,0,0
4.35755E-9,0.000250038,0.000001654,0.532609778,0,0
8.07533E-9,0.000500457,0.000003065,0.491884895,0,0
1.62234E-8,0.00100005,0.000006157,0.449367719,0,0
4.15932E-8,0.002501924,0.000015785,0.392611769,0,0
8.15156E-8,0.005000184,0.000030936,0.350692024,0,0
1.58395E-7,0.010011237,0.000060111,0.307676989,0,0
4.00521E-7,0.025036458,0.000151991,0.250124465,0,0
8.26105E-7,0.050056105,0.000313467,0.207109429,0,0
2.01747E-6,0.100022818,0.00076536,0.168973414,0,0
5.00898E-6,0.200445342,0.001899157,0.137608284,0,0
8.09902E-6,0.300528186,0.003068949,0.122075077,0,0
1.14728E-5,0.401024431,0.004344606,0.111719606,0,0
1.53853E-5,0.501454922,0.005821891,0.104251718,0,0
1.91091E-5,0.601721184,0.007225881,0.098376979,0,0
2.25382E-5,0.700286978,0.008517021,0.093697102,0,0
2.39469E-5,0.751208827,0.009046937,0.091506522,0,0
2.64701E-5,0.801923945,0.009995412,0.089515085,0,0
3.07947E-5,0.902486097,0.011618911,0.086030071,0,0
3.44059E-5,1.00051571,0.01297254,0.083042915,0,0
3.86782E-5,1.102789156,0.014571616,0.080254904,0,0
4.1772E-5,1.203961692,0.015727957,0.077765608,0,0
4.45654E-5,1.302923372,0.016770863,0.075475456,0,0
4.7742E-5,1.404563075,0.017955471,0.073284875,0,0
5.03889E-5,1.502928415,0.018941468,0.071293438,0,0
6.26506E-5,1.753656001,0.023496162,0.066812705,0,0
7.30443E-5,2.004059815,0.027340425,0.063128547,0,0
8.54828E-5,2.255815111,0.031921094,0.059942248,0,0
