Predictor variable,Categorical,Sample average
elevation,false,109.54716981132076
max temperature of warmest month,false,30.169811320754718
mean diurnal range,false,10.520940861611995
min temperature of coldest month,false,7.981132075471698
precipitation of coldest quarter,false,318.22641509433964
precipitation of driest quarter,false,295.66037735849056
precipitation of warmest quarter,false,356.2830188679245
precipitation of wettest quarter,false,390.75471698113205
precipitation seasonality,false,13.200938647648073
temperature annual range,false,22.150943396226417
