Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.66789E-13,0.000000001,0,0.992326091,0,0
4.19067E-13,0.000000003,0.000000001,0.987941001,0,0
1.41013E-12,0.00000001,0.000000002,0.97837353,0,0
3.80377E-12,0.000000025,0.000000005,0.972194539,0,0
1.01552E-11,0.0000001,0.000000014,0.960833167,0,0
1.91598E-11,0.000000251,0.000000026,0.950269085,0,0
5.30818E-11,0.000001002,0.000000071,0.928443293,0,0
1.09911E-10,0.000002507,0.000000147,0.909906319,0,0
3.32779E-10,0.000010028,0.000000446,0.873928643,0,0
7.01729E-10,0.000025051,0.000000941,0.843531991,0,0
1.20469E-9,0.000050084,0.000001615,0.816723141,0,0
2.22899E-9,0.000100176,0.000002988,0.786725135,0,0
5.34085E-9,0.000250248,0.00000716,0.744269484,0,0
1.06614E-8,0.000500141,0.000014292,0.712676899,0,0
2.22873E-8,0.001000755,0.000029877,0.681482958,0,0
5.2975E-8,0.002505152,0.000071014,0.638230018,0,0
9.58713E-8,0.005004543,0.000128513,0.60464421,0,0
1.91013E-7,0.010018057,0.000256032,0.568267889,0,0
4.20647E-7,0.025008382,0.000563744,0.517839346,0,0
8.21669E-7,0.050051691,0.001100892,0.476280646,0,0
1.48287E-6,0.10000261,0.001985905,0.432230417,0,0
2.76891E-6,0.200107802,0.003705015,0.384193741,0,0
3.96271E-6,0.300335402,0.005298173,0.354096073,0,0
5.22392E-6,0.400399732,0.006978515,0.332270281,0,0
6.47729E-6,0.500289226,0.008645616,0.315128563,0,0
7.59469E-6,0.600060966,0.010129493,0.300976679,0,0
8.68264E-6,0.700570547,0.011572137,0.288718358,0,0
9.18631E-6,0.750400172,0.01223929,0.283137333,0,0
9.76927E-6,0.800709158,0.013010923,0.277855292,0,0
1.11318E-5,0.900759322,0.014812115,0.268287821,0,0
1.22829E-5,1.000412666,0.016331089,0.259816623,0,0
1.36585E-5,1.100062888,0.018143405,0.252142715,0,0
1.48087E-5,1.201028389,0.019656207,0.245066773,0,0
1.62981E-5,1.300445484,0.021611692,0.238688459,0,0
1.77342E-5,1.400950277,0.023493381,0.232808451,0,0
1.90748E-5,1.500502445,0.025246785,0.227426749,0,0
2.35373E-5,1.751749949,0.031060521,0.215666733,0,0
2.82911E-5,2.001489416,0.037215711,0.206099263,0,0
3.29877E-5,2.252943732,0.043258494,0.197827387,0,0
3.75562E-5,2.502690581,0.049099991,0.190751445,0,0
4.15116E-5,2.752851327,0.05412882,0.184472793,0,0
4.57413E-5,3.003073463,0.05947678,0.178692446,0,0
5.10271E-5,3.254283837,0.066117823,0.173510066,0,0
5.53456E-5,3.504194717,0.071508569,0.168825992,0,0
5.95593E-5,3.750091969,0.076738594,0.164540562,0,0
6.48632E-5,4.003452472,0.083279869,0.160454455,0,0
6.96591E-5,4.252509834,0.089154813,0.156766992,0,0
7.62551E-5,4.500156198,0.09717327,0.153378513,0,0
8.17739E-5,4.753789591,0.103827938,0.150189356,0,0
8.80045E-5,5.000828676,0.111282109,0.147299183,0,0
9.62875E-5,5.258053906,0.121095655,0.144508671,0,0
1.02915E-4,5.507923882,0.128869819,0.142017142,0,0
1.08743E-4,5.760856832,0.135649119,0.139625274,0,0
1.16413E-4,6.007362796,0.144490663,0.137432729,0,0
1.24316E-4,6.259930518,0.153507197,0.135339845,0,0
1.28758E-4,6.500952658,0.158533115,0.133446283,0.025,0
1.34697E-4,6.751572659,0.165205938,0.131552721,0.025,0
1.41998E-4,7.000990257,0.173336173,0.12975882,0.025,0
1.48438E-4,7.263993033,0.180442439,0.127964919,0.025,0
1.5486E-4,7.506362118,0.187467101,0.126370341,0.025,0
1.57794E-4,7.755798802,0.190657019,0.124775762,0.025,0
1.64082E-4,8.013923812,0.197450299,0.123181184,0.025,0
1.7181E-4,8.250718258,0.205722398,0.121785928,0.025,0
1.79738E-4,8.513788537,0.214119202,0.120291011,0.025,0
1.84175E-4,8.750548604,0.218779491,0.118995416,0.025,0
1.89156E-4,9.012488179,0.223978632,0.117600159,0.025,0
1.95461E-4,9.262254534,0.230509886,0.116304564,0.025,0
2.02817E-4,9.502004049,0.238060636,0.115108631,0.025,0
2.08446E-4,9.769100413,0.243788402,0.113813036,0.05,0
2.11418E-4,10.000589673,0.246795393,0.112716763,0.05,0
2.15739E-4,10.256129626,0.251146414,0.111520829,0.05,0
2.19882E-4,10.517878719,0.255293147,0.110324895,0.05,0
2.24598E-4,10.761986316,0.259986531,0.109228623,0.05,0
2.31117E-4,11.012601275,0.266425753,0.10813235,0.075,0
2.35434E-4,11.270183355,0.270659118,0.107036077,0.075,0
2.38659E-4,11.506939968,0.273805393,0.106039466,0.075,0
2.43827E-4,11.77192916,0.278819216,0.104943193,0.075,0
2.48706E-4,12.018659648,0.283520162,0.103946582,0.075,0
2.52364E-4,12.269609664,0.287025062,0.10294997,0.075,0
2.56745E-4,12.524057081,0.291199961,0.101953359,0.075,0
2.62694E-4,12.757712368,0.296830975,0.101056408,0.075,0
2.66434E-4,13.022624787,0.300347022,0.100059797,0.1,0
2.68897E-4,13.263884769,0.302653838,0.099162846,0.1,0
2.76503E-4,13.509067052,0.309727441,0.098265896,0.1,0
2.83515E-4,13.761259225,0.316185734,0.097368946,0.1,0
2.87979E-4,14.019074658,0.320266177,0.096471995,0.1,0
2.92188E-4,14.251070558,0.324090552,0.095674706,0.1,0
3.01779E-4,14.518115541,0.332725311,0.094777756,0.1,0
3.09922E-4,14.763388454,0.339969436,0.093980466,0.125,0
3.14565E-4,15.014286809,0.344065378,0.093183177,0.125,0
3.19066E-4,15.267707441,0.348010826,0.092385888,0.125,0
3.31409E-4,15.528922242,0.358710629,0.091588599,0.125,0
3.38164E-4,15.763088768,0.364491378,0.090890971,0.125,0
3.44473E-4,16.002474302,0.369843585,0.090193343,0.125,0
3.51753E-4,16.28104103,0.375963558,0.089396053,0.125,0
