Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.59596E-9,0.00000036,0.000025524,1,0,0
5.2301E-9,0.000001265,0.000037123,0.999818742,0,0
8.68213E-9,0.000002952,0.000061625,0.999637484,0,0
1.38763E-8,0.00001045,0.000098491,0.99909371,0,0
1.61362E-8,0.000025605,0.000114529,0.998187421,0,0
2.14069E-8,0.00005055,0.000151937,0.997009244,0,0
2.78518E-8,0.000100136,0.000197676,0.995196665,0,0
3.96356E-8,0.000251684,0.000281298,0.991118361,0,0
5.13092E-8,0.000502407,0.000364132,0.986224397,0,0
7.37587E-8,0.001006905,0.00052341,0.978883451,0,0
1.2713E-7,0.002509646,0.000901975,0.964835962,0,0
2.01091E-7,0.005007918,0.001426347,0.950879101,0.000831255,0
3.06622E-7,0.010001377,0.002174066,0.933115824,0.000831255,0
5.91459E-7,0.025035992,0.004189436,0.901214428,0.000831255,0
1.1526E-6,0.050016522,0.008147857,0.874116368,0.000831255,0
2.27532E-6,0.100201188,0.016020693,0.846474533,0.000831255,0
4.53972E-6,0.200380821,0.031709726,0.818832699,0.000831255,0
6.69334E-6,0.300391273,0.046399049,0.802428856,0.000831255,0
9.2286E-6,0.400121361,0.063406106,0.790918978,0.00166251,0
1.15356E-5,0.500909137,0.078618039,0.782037339,0.00166251,0
1.35453E-5,0.601024989,0.09166834,0.774787022,0.002493766,0
1.51735E-5,0.700822066,0.102105492,0.768442994,0.002493766,0
1.59013E-5,0.750552236,0.106732477,0.765542868,0.002493766,0
1.676E-5,0.801209595,0.112160577,0.76273337,0.002493766,0
1.86326E-5,0.901138114,0.123883496,0.757658148,0.004156276,0
2.0565E-5,1.001525858,0.135818625,0.75303607,0.004987531,0
2.24407E-5,1.100641673,0.147248005,0.748867138,0.006650042,0
2.3541E-5,1.201729222,0.15388176,0.744879463,0.007481297,0
2.47618E-5,1.300770133,0.161182325,0.741163676,0.009143807,0
2.6322E-5,1.400504602,0.170420517,0.737629146,0.009143807,0
2.71594E-5,1.502339515,0.175336725,0.734185246,0.009143807,0
3.01776E-5,1.751316133,0.192815621,0.726300526,0.013300083,0
3.24514E-5,2.001520595,0.205739193,0.719050208,0.014962594,0
3.49969E-5,2.251851509,0.219961198,0.712343665,0.018287614,0
3.64864E-5,2.502002784,0.228164613,0.705999637,0.021612635,0
3.83821E-5,2.753253693,0.238480848,0.699927497,0.024106401,0
3.99519E-5,3.003662766,0.246919005,0.694127243,0.025768911,0
4.18925E-5,3.253154833,0.257221347,0.688598876,0.027431421,0
4.34964E-5,3.500848158,0.2656293,0.683342396,0.029093932,0
4.48233E-5,3.752586471,0.272513922,0.678176545,0.029925187,0
4.61796E-5,4.002840115,0.279483654,0.673191952,0.031587697,0
4.73311E-5,4.250800586,0.285348953,0.668388617,0.034081463,0
4.85348E-5,4.500517877,0.291428999,0.663675911,0.034912718,0
4.97459E-5,4.751032357,0.297493877,0.659053834,0.039068994,0
5.08315E-5,5.002608696,0.302886511,0.654522385,0.040731505,0
5.19607E-5,5.254580106,0.308451403,0.650081566,0.04322527,0
5.27954E-5,5.500943964,0.312536659,0.645822005,0.044056525,0
5.40147E-5,5.752227452,0.318460945,0.641562443,0.045719036,0
5.49655E-5,6.003346736,0.323044791,0.637393511,0.046550291,0
5.58116E-5,6.25290993,0.327098274,0.633315208,0.047381546,0
5.64082E-5,6.505560526,0.329941996,0.629236904,0.048212801,0
5.70237E-5,6.755068051,0.332862719,0.62524923,0.049044057,0
5.76875E-5,7.001729128,0.335999028,0.621352184,0.053200333,0
5.85016E-5,7.25153513,0.339824885,0.617455139,0.057356608,0
5.92243E-5,7.504683161,0.34320245,0.613558093,0.061512884,0
5.99685E-5,7.75472903,0.346662973,0.609751677,0.06566916,0
6.07304E-5,8.002096166,0.350186698,0.606035889,0.068162926,0
6.13908E-5,8.252591128,0.35322584,0.602320102,0.070656692,0
6.19089E-5,8.505174564,0.355599835,0.598604314,0.074812968,0
6.24872E-5,8.754173972,0.358239767,0.594979155,0.076475478,0
6.31077E-5,9.005170124,0.36105977,0.591353997,0.078137988,0
6.37564E-5,9.252636326,0.363995254,0.587819467,0.079800499,0
6.4408E-5,9.502536934,0.366930098,0.584284937,0.080631754,0
6.48483E-5,9.754615728,0.36890527,0.580750408,0.08312552,0
6.54302E-5,10.002110727,0.371506509,0.577306507,0.085619285,0
6.59021E-5,10.251595067,0.373608332,0.573862606,0.08645054,0
6.63337E-5,10.502843196,0.37552421,0.570418706,0.089775561,0
6.6899E-5,10.756155009,0.37802529,0.566974805,0.092269327,0
6.75185E-5,11.00485938,0.38075428,0.563621533,0.094763092,0
6.79284E-5,11.255519169,0.382553129,0.560268262,0.095594347,0
6.84121E-5,11.500895258,0.384669432,0.557005619,0.097256858,0
6.89724E-5,11.755234987,0.387111582,0.553652347,0.103906899,0
6.93534E-5,12.004190322,0.388766877,0.550389705,0.108063175,0
6.99029E-5,12.254798506,0.391146648,0.547127062,0.109725686,0
7.02714E-5,12.50014529,0.392736902,0.543955048,0.109725686,0
7.08298E-5,12.754109217,0.395139072,0.540692405,0.111388196,0
7.12542E-5,13.002889055,0.396958269,0.537520392,0.112219451,0
7.1556E-5,13.252795059,0.398248967,0.534348378,0.112219451,0
7.1975E-5,13.50405415,0.400035886,0.531176364,0.117206983,0
7.23003E-5,13.756472481,0.401419688,0.52800435,0.119700748,0
7.26986E-5,14.002998851,0.403109422,0.524922965,0.123025769,0
7.32029E-5,14.251156822,0.40524224,0.521841581,0.123857024,0
7.3645E-5,14.500732753,0.40710567,0.518760196,0.124688279,0
7.41646E-5,14.752148656,0.409288631,0.515678811,0.12635079,0
7.46723E-5,15.005301456,0.411413225,0.512597426,0.1280133,0
7.50913E-5,15.252497167,0.41316118,0.50960667,0.12967581,0
7.55518E-5,15.501092101,0.415076417,0.506615914,0.131338321,0
7.59626E-5,15.751018411,0.416779553,0.503625159,0.134663342,0
7.64478E-5,16.002605947,0.41878479,0.500634403,0.140482128,0
7.69425E-5,16.255757557,0.420821769,0.497643647,0.144638404,0
7.73599E-5,16.50247588,0.422535189,0.49474352,0.145469659,0
7.77475E-5,16.750605643,0.424122074,0.491843393,0.146300914,0
7.81362E-5,17.000179921,0.425708634,0.488943266,0.149625935,0
7.84618E-5,17.250784482,0.427034096,0.486043139,0.151288446,0
7.88759E-5,17.502613423,0.428715784,0.483143013,0.152119701,0
7.92044E-5,17.755597261,0.430046513,0.480242886,0.153782211,0
7.9514E-5,18.001661813,0.431297634,0.477433388,0.155444722,0
7.9841E-5,18.256665047,0.432616238,0.474533261,0.156275977,0
8.01829E-5,18.504714201,0.433991227,0.471723763,0.156275977,0
8.0591E-5,18.753892754,0.435628428,0.468914265,0.158769742,0
8.09354E-5,19.00423255,0.437006584,0.466104767,0.160432253,0
8.13272E-5,19.255741459,0.438570195,0.463295269,0.160432253,0
8.18009E-5,19.500481609,0.440454584,0.4605764,0.162094763,0
8.22073E-5,19.754727807,0.442066592,0.457766902,0.163757273,0
8.26625E-5,20.002128051,0.443866071,0.455048033,0.165419784,0
8.30411E-5,20.250667978,0.445358591,0.452329164,0.167082294,0
8.34732E-5,20.500465724,0.44705728,0.449610295,0.168744805,0
8.37584E-5,20.751328665,0.448175437,0.446891426,0.17123857,0
8.42173E-5,21.003307822,0.449970093,0.444172558,0.172069825,0
8.46153E-5,21.256598974,0.451521798,0.441453689,0.173732336,0
8.49933E-5,21.502514209,0.452991394,0.438825449,0.176226101,0
8.53516E-5,21.758061243,0.454380808,0.43610658,0.177057357,0
8.56565E-5,22.00605014,0.455560451,0.43347834,0.177057357,0
8.60759E-5,22.255056794,0.457178486,0.4308501,0.177888612,0
8.62992E-5,22.504983018,0.458038505,0.42822186,0.180382377,0
8.67518E-5,22.75605365,0.459776645,0.42559362,0.180382377,0
8.72962E-5,23.008359939,0.46186024,0.42296538,0.182044888,0
8.77201E-5,23.253383967,0.463476863,0.420427769,0.182044888,0
8.81207E-5,23.508495283,0.465000488,0.417799529,0.182044888,0
8.84954E-5,23.755828034,0.466421242,0.415261918,0.184538653,0
8.88865E-5,24.004224409,0.467900687,0.412724307,0.186201164,0
8.9161E-5,24.253431781,0.468936151,0.410186696,0.188694929,0
8.9477E-5,24.503553143,0.470126334,0.407649085,0.191188695,0
8.99636E-5,24.754725065,0.471953277,0.405111474,0.193682461,0
9.02984E-5,25.007058941,0.473206662,0.402573863,0.196176226,0
9.07686E-5,25.251485896,0.474961696,0.400126881,0.199501247,0
9.12167E-5,25.506293929,0.476629218,0.39758927,0.202826268,0
9.15917E-5,25.75309975,0.478020193,0.395142287,0.205320033,0
9.18517E-5,26.000778719,0.478982784,0.392695305,0.209476309,0
9.22212E-5,26.258502466,0.48034759,0.390157694,0.21113882,0
9.25406E-5,26.50782578,0.48152436,0.387710712,0.211970075,0
9.29324E-5,26.758230382,0.482964006,0.38526373,0.213632585,0
9.3314E-5,27.000315893,0.484362682,0.382907377,0.21446384,0
9.36895E-5,27.252800528,0.485735138,0.380460395,0.217788861,0
9.41612E-5,27.506504631,0.487454083,0.378013413,0.218620116,0
9.44406E-5,27.751710855,0.4884696,0.37565706,0.221113882,0
9.48205E-5,28.007281392,0.489847096,0.373210078,0.221945137,0
9.51766E-5,28.2542955,0.491135096,0.370853725,0.226101413,0
9.55544E-5,28.502231208,0.492497683,0.368497372,0.228595179,0
9.585E-5,28.751067284,0.493561637,0.366141019,0.229426434,0
9.61351E-5,29.000675031,0.494585316,0.363784666,0.231088944,0
9.66423E-5,29.251411145,0.496401774,0.361428312,0.23524522,0
9.69519E-5,29.50307121,0.497507161,0.359071959,0.238570241,0
9.73351E-5,29.755711266,0.498872217,0.356715606,0.241064007,0
9.78078E-5,30.009460369,0.500550706,0.354359253,0.242726517,0
9.83535E-5,30.254827818,0.502481431,0.352093529,0.243557772,0
9.89088E-5,30.501498974,0.504438743,0.349827805,0.244389027,0
9.9243E-5,30.759105414,0.505612984,0.347471452,0.246882793,0
9.98074E-5,31.00788417,0.507589646,0.345205728,0.249376559,0
1.00122E-4,31.257863063,0.50868873,0.342940004,0.249376559,0
1.00563E-4,31.50889253,0.510223718,0.340674279,0.251039069,0
1.01024E-4,31.750829407,0.511822427,0.338499184,0.252701579,0
1.01508E-4,32.004059051,0.51349879,0.33623346,0.255195345,0
1.02099E-4,32.258727588,0.515535649,0.333967736,0.259351621,0
1.02563E-4,32.504327934,0.517128597,0.331792641,0.262676642,0
1.03224E-4,32.751273658,0.51938588,0.329617546,0.264339152,0
1.03694E-4,33.009821072,0.520989593,0.327351822,0.266832918,0
1.04048E-4,33.259098922,0.522188692,0.325176726,0.269326683,0
1.04413E-4,33.50928221,0.523426631,0.323001631,0.270157938,0
1.04794E-4,33.760301327,0.524714164,0.320826536,0.271820449,0
1.05235E-4,34.0020045,0.526198657,0.31874207,0.274314214,0
1.05751E-4,34.255228177,0.527929682,0.316566975,0.277639235,0
1.0635E-4,34.509665387,0.52993276,0.31439188,0.280133001,0
1.06882E-4,34.754962348,0.531707401,0.312307413,0.282626766,0
1.07288E-4,35.001260874,0.533054409,0.310222947,0.282626766,0
1.07906E-4,35.259583047,0.535097406,0.308047852,0.284289277,0
1.08413E-4,35.508230406,0.536768549,0.305963386,0.285951787,0
1.08907E-4,35.758098035,0.53839015,0.30387892,0.286783042,0
1.0942E-4,36.009184294,0.54006821,0.301794454,0.287614298,0
1.09802E-4,36.250326494,0.54131097,0.299800616,0.288445553,0
1.1033E-4,36.50357515,0.543028795,0.29771615,0.290108063,0
1.10842E-4,36.757938528,0.544685122,0.295631684,0.290939318,0
1.11487E-4,37.002524369,0.54676465,0.293637847,0.294264339,0
1.12055E-4,37.259627933,0.548588092,0.29155338,0.296758105,0
1.12479E-4,37.50666845,0.549944334,0.289559543,0.29758936,0
1.12981E-4,37.754649723,0.551547492,0.287565706,0.300083126,0
1.13489E-4,38.003716589,0.553161104,0.285571869,0.301745636,0
1.13918E-4,38.253825735,0.554517968,0.283578032,0.305070657,0
1.1445E-4,38.505117553,0.556199116,0.281584194,0.307564422,0
1.15074E-4,38.757655587,0.558158818,0.279590357,0.308395677,0
1.15662E-4,39.011412284,0.559999139,0.27759652,0.311720698,0
1.16277E-4,39.25488994,0.561916666,0.275693312,0.311720698,0
1.16925E-4,39.511442388,0.563927332,0.273699474,0.313383209,0
1.1741E-4,39.757546395,0.565426756,0.271796266,0.315876974,0
1.17912E-4,40.004772773,0.56697086,0.269893058,0.316708229,0
1.18423E-4,40.253000594,0.568538044,0.26798985,0.319201995,0
1.18824E-4,40.50211377,0.56976542,0.266086641,0.32003325,0
1.19354E-4,40.752241589,0.571380505,0.264183433,0.322527016,0
1.1985E-4,41.003357326,0.572885826,0.262280225,0.323358271,0
1.20366E-4,41.255571731,0.574448946,0.260377016,0.325852037,0
1.21186E-4,41.50927122,0.576917663,0.258473808,0.327514547,0
1.21743E-4,41.752240516,0.57858765,0.256661229,0.329177057,0
1.22331E-4,42.008488129,0.580342221,0.254758021,0.333333333,0
1.22798E-4,42.253639964,0.581730368,0.252945441,0.335827099,0
1.23384E-4,42.512129611,0.583467147,0.251042233,0.339983375,0
1.23819E-4,42.759296811,0.584751354,0.249229654,0.344139651,0
1.24536E-4,43.007668718,0.586858796,0.247417074,0.345802161,0
1.25239E-4,43.257558407,0.588917037,0.245604495,0.348295927,0
1.26471E-4,43.509417604,0.592494637,0.243791916,0.351620948,0
1.27191E-4,43.75051095,0.594573024,0.242069966,0.354945968,0
1.27857E-4,44.005790262,0.59648471,0.240257386,0.356608479,0
