Predictor variable,Categorical,Sample average
elevation,false,394.1737323358271
max temperature of warmest month,false,31.122194513715712
mean diurnal range,false,10.727514429480854
min temperature of coldest month,false,14.966749792186201
precipitation of coldest quarter,false,324.2926018287614
precipitation of driest quarter,false,164.83042394014961
precipitation of warmest quarter,false,485.50706566916045
precipitation of wettest quarter,false,741.2418952618453
precipitation seasonality,false,60.20205054001717
temperature annual range,false,16.137988362427265
