Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.48865E-9,0.000000649,0.000013232,1,0,0
6.86451E-9,0.000001335,0.000013999,0.999900616,0,0
9.87288E-9,0.000003273,0.000020134,0.999701849,0,0
1.23675E-8,0.000011126,0.000025221,0.999006162,0,0
2.3865E-8,0.000025761,0.000048667,0.998211091,0,0
3.00774E-8,0.00005038,0.000061336,0.997316637,0,0
4.31962E-8,0.000101192,0.000088088,0.995925263,0,0
6.2613E-8,0.000250184,0.000127681,0.993142516,0,0
7.98203E-8,0.000507294,0.000162767,0.989564699,0,0
1.07286E-7,0.001006728,0.000218769,0.984197973,0,0
1.53669E-7,0.002504985,0.000313333,0.972768833,0,0
2.28833E-7,0.005004757,0.000466559,0.959650169,0,0
3.3345E-7,0.010004679,0.000679786,0.942158617,0,0
5.96686E-7,0.02502786,0.001216102,0.909858875,0,0
9.01493E-7,0.050047695,0.001836757,0.876764063,0,0
1.3661E-6,0.100070054,0.002782055,0.832836414,0,0
2.41931E-6,0.20006099,0.004921639,0.778771616,0,0
3.60584E-6,0.300229321,0.007326541,0.74557742,0,0
4.68288E-6,0.400262757,0.009504502,0.721427152,0.013157895,0
5.79148E-6,0.500455727,0.011741295,0.702345458,0.013157895,0
6.66105E-6,0.600510182,0.013492272,0.686444047,0.026315789,0
7.52342E-6,0.700498857,0.015225683,0.672430928,0.026315789,0
8.14405E-6,0.750639524,0.016471283,0.666070364,0.026315789,0
8.57688E-6,0.800138712,0.01733906,0.660206718,0.026315789,0
9.55712E-6,0.900073797,0.019301456,0.649274498,0.026315789,0
1.03022E-5,1.000412065,0.020790397,0.639236732,0.026315789,0
1.09671E-5,1.100822979,0.022117398,0.629894653,0.026315789,0
1.17264E-5,1.20031246,0.023630362,0.621148877,0.026315789,0
1.24228E-5,1.300337967,0.025016118,0.61290002,0.026315789,0
1.30913E-5,1.401192228,0.02634426,0.605048698,0.026315789,0
1.37053E-5,1.500394798,0.027562798,0.597694295,0.026315789,0
1.52913E-5,1.750547273,0.030702852,0.580600278,0.039473684,0
1.72177E-5,2.000456756,0.034503449,0.56529517,0.039473684,0
1.86626E-5,2.250054337,0.037344074,0.551480819,0.039473684,0
2.01145E-5,2.501385031,0.040190225,0.538560922,0.039473684,0
2.13549E-5,2.750182481,0.042615053,0.526634864,0.039473684,0
2.23769E-5,3.001164103,0.044608449,0.515205725,0.039473684,0
2.3563E-5,3.251064458,0.046916639,0.504372888,0.039473684,0
2.50375E-5,3.50087658,0.049778296,0.494136355,0.039473684,0
2.65095E-5,3.751189825,0.052626314,0.484496124,0.039473684,0
2.75947E-5,4.000028432,0.054720671,0.475352813,0.039473684,0
2.88413E-5,4.251734671,0.057120775,0.466507653,0.039473684,0
2.97352E-5,4.500840461,0.058838083,0.458060028,0.039473684,0
3.06984E-5,4.751451013,0.060684951,0.449811171,0.039473684,0
3.17656E-5,5.001603887,0.062727033,0.441860465,0.039473684,0
3.31183E-5,5.251110687,0.065308971,0.434207911,0.039473684,0
3.40021E-5,5.502520289,0.066992144,0.426754124,0.039473684,0
3.50588E-5,5.751330299,0.069000506,0.419598489,0.039473684,0
3.63625E-5,6.001232635,0.071472595,0.412641622,0.039473684,0
3.74028E-5,6.251934625,0.073440341,0.405883522,0.052631579,0
3.85071E-5,6.501945115,0.075524577,0.39932419,0.052631579,0
3.94007E-5,6.751338377,0.077207743,0.392963626,0.052631579,0
4.02836E-5,7.0023235,0.078867876,0.386702445,0.052631579,0
