Predictor variable,Categorical,Sample average
elevation,false,1364.6184210526317
max temperature of warmest month,false,26.32894736842105
mean diurnal range,false,10.133315186751517
min temperature of coldest month,false,13.605263157894736
precipitation of coldest quarter,false,456.2368421052632
precipitation of driest quarter,false,205.28947368421052
precipitation of warmest quarter,false,429.3421052631579
precipitation of wettest quarter,false,734.7763157894736
precipitation seasonality,false,49.214157255072344
temperature annual range,false,12.763157894736842
