Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.63608E-11,0.000000003,0.000000142,1,0,0
4.16778E-11,0.000000011,0.000000224,0.999809288,0,0
5.00135E-11,0.00000003,0.000000269,0.999427863,0,0
1.07518E-10,0.000000106,0.000000579,0.998569658,0,0
1.50649E-10,0.000000254,0.000000811,0.99752074,0,0
3.05337E-10,0.000001006,0.000001644,0.994469343,0,0
4.79271E-10,0.000002501,0.00000258,0.990750453,0,0
1.19927E-9,0.000010078,0.000006456,0.982168399,0,0
2.0889E-9,0.000025155,0.000011246,0.973395633,0,0
3.38482E-9,0.000050081,0.000018222,0.964432154,0,0
5.99663E-9,0.000100407,0.000032283,0.954229045,0,0
1.4604E-8,0.000250075,0.000078618,0.93973491,0,0
2.46456E-8,0.000501997,0.000132672,0.92733861,0,0
4.20124E-8,0.001001747,0.00022615,0.912653762,0,0
9.99649E-8,0.00250495,0.000538019,0.891484695,0,0
1.85157E-7,0.005010937,0.000996303,0.874225231,0,0
3.45925E-7,0.010018055,0.001860565,0.855726137,0,0
8.85716E-7,0.025079283,0.004756929,0.830742824,0,0
1.55807E-6,0.050076209,0.008352818,0.810718032,0,0
2.95215E-6,0.100090853,0.015767361,0.789072185,0,0
4.98923E-6,0.200423866,0.026502159,0.764947077,0,0
7.11853E-6,0.300623163,0.037597804,0.749117956,0.001757469,0
8.75362E-6,0.40042788,0.046032248,0.737198436,0.001757469,0
1.05632E-5,0.500052573,0.05528045,0.727376752,0.003514938,0
1.2413E-5,0.600180137,0.064641699,0.718985411,0.003514938,0
1.39067E-5,0.701194389,0.072133382,0.711642987,0.005272408,0
1.45228E-5,0.750922227,0.075205471,0.708305521,0.005272408,0
1.52097E-5,0.800062123,0.078619265,0.705158768,0.005272408,0
1.61731E-5,0.900406309,0.083385473,0.699055974,0.007029877,0
1.7577E-5,1.000111916,0.090287111,0.693429961,0.008787346,0
1.88328E-5,1.10003701,0.09641691,0.688185372,0.008787346,0
1.98339E-5,1.200604893,0.10127318,0.683226852,0.010544815,0
2.09993E-5,1.30064893,0.106894473,0.678554401,0.010544815,0
2.22547E-5,1.400360607,0.112909945,0.674168018,0.010544815,0
2.33359E-5,1.500904855,0.118058287,0.669972347,0.014059754,0
2.56096E-5,1.750904122,0.128788206,0.660246019,0.014059754,0
2.77188E-5,2.0014093,0.138624729,0.65128254,0.014059754,0
3.00306E-5,2.250390657,0.149278902,0.643081911,0.015817223,0
3.16045E-5,2.500118809,0.156456672,0.635358062,0.015817223,0
3.30073E-5,2.752103909,0.162803,0.627920282,0.019332162,0
3.46586E-5,3.002543799,0.170212618,0.620863927,0.021089631,0
3.59132E-5,3.253198186,0.175798372,0.61409364,0.0228471,0
3.73089E-5,3.502190072,0.181967779,0.607609421,0.026362039,0
3.85718E-5,3.753137954,0.187510633,0.601315915,0.029876977,0
3.96513E-5,4.003636832,0.192218777,0.595213121,0.029876977,0
4.10052E-5,4.253467421,0.198084996,0.589301039,0.029876977,0
4.23028E-5,4.503587044,0.203667615,0.58357967,0.029876977,0
