Predictor variable,Categorical,Sample average
elevation,false,422.6256590509666
max temperature of warmest month,false,30.551845342706503
mean diurnal range,false,10.386273519854553
min temperature of coldest month,false,14.67311072056239
precipitation of coldest quarter,false,367.97539543057997
precipitation of driest quarter,false,211.45869947275924
precipitation of warmest quarter,false,475.5676625659051
precipitation of wettest quarter,false,737.2319859402461
precipitation seasonality,false,53.504186111510535
temperature annual range,false,15.873462214411248
