X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-53.55937,-33.70304,train,1.9594440161221287E-4,53.763083299515046,0.6517633049730506
-54.383333,-33.633333,train,3.5369633912013754E-4,74.17423029727887,0.851048630914152
-56.89537,-33.21328,train,3.6357810553088276E-5,3.3325163920249,0.17776860489018864
-53.633333,-32.766667,train,3.017664927577522E-4,69.09042375953727,0.803003524428371
-55.45,-32.433333,train,1.362778688781216E-4,37.87314123964641,0.5198497530436328
-54.183333,-32.366667,train,2.0435012083752408E-4,55.5871160404963,0.6671706314605614
-53.13742,-32.13804,train,6.508607631400659E-4,92.83716259732307,0.9699210433652095
-55.683333,-32.133333,train,8.2332276462386E-5,15.561738345654364,0.35804585923082277
-53.0923,-31.4692,train,6.831176398780256E-4,94.2799034827932,0.9747160477053455
-53.7667,-31.441,train,5.435756756543333E-4,87.11676709532422,0.9464080715702833
-51.9667,-31.3667,train,2.1717263108218883E-4,57.755725082621055,0.6893709101938836
-54.64577,-31.03199,train,3.769739615405434E-4,76.02343519814374,0.8685923852225634
-53.4914,-30.5122,train,6.450996288725402E-4,92.4203294936639,0.9689735191643271
-55.0491,-30.4297,train,4.3033389855026054E-4,80.06103059708302,0.9014031661574889
-51.7336,-30.3883,train,8.484398880550455E-4,97.38853753909041,0.9896171816799607
-53.7167,-30.3772,train,5.509355126428656E-4,87.54765696399045,0.9484899696412931
-52.69989,-30.36919,train,7.253786904543643E-4,95.4005661099453,0.9798610409990939
-54.1239,-30.348,train,4.738105566746139E-4,82.7853111020647,0.9219787528981185
-53.9797,-30.3435,train,5.441010867380993E-4,87.14328145106151,0.9465594457519922
-52.58712,-30.33419,train,7.583644542755352E-4,96.28668660706218,0.9831377685272689
-52.34959,-30.294,train,6.083306912113264E-4,90.4904260562655,0.9621819010175682
-53.1067,-30.2737,train,4.996290102356665E-4,84.35988125898811,0.9321033478012004
-52.9155,-30.2715,train,5.283185339009281E-4,86.2722124760969,0.9418203421562402
-52.1773,-30.2499,train,6.254147550993027E-4,91.20875966099372,0.96550497192837
-52.6628,-30.2241,train,5.761813006401074E-4,88.80392950301658,0.9550358702054346
-57.5,-30.2,train,1.7013300496135968E-4,48.119875833189454,0.599850240630218
-52.1267,-30.1582,train,5.420700954844508E-4,87.04078946666603,0.9459719256888464
-51.8239,-30.1127,train,7.056129740919762E-4,94.90163103949327,0.9775998970264953
-50.85277,-30.09879,train,8.081973113681975E-4,96.82571645030166,0.9871055171035369
-55.28103,-30.0889,train,4.5819144258274545E-4,81.52001636850663,0.9151345397289494
-51.8,-29.9667,train,6.26285598946478E-4,91.24482561569212,0.9656663135506478
-55.4431,-29.9658,train,5.016124598065622E-4,84.44823618459256,0.9328244887570123
-50.82031,-29.6978,train,8.341471035854988E-4,97.2682454988043,0.9887867287285372
-54.49395,-29.66229,train,4.8443514857957526E-4,83.28081125646288,0.9263161707185568
-54.1277,-29.65639,train,5.576462858753687E-4,87.82722617020752,0.95031769202411
-52.0,-29.61667,train,3.5073897958241525E-4,73.938433323697,0.8486581917986196
-50.58315,-29.613,train,9.50982803667691E-4,98.52546079691575,0.9940218609030569
-54.69,-29.4975,train,6.005368014681249E-4,89.97773077752707,0.9605613441375345
-50.5791,-29.4469,train,7.113737253703015E-4,95.047310453091,0.97828393369101
-50.38836,-29.42841,train,4.873904001132786E-4,83.41859866955521,0.9274791814935659
-51.7734,-29.3703,train,5.679267079756055E-4,88.22684861567471,0.9529926526332015
-50.09881,-29.15548,train,4.278189655583267E-4,79.88050402423751,0.9000591639776292
-49.9778,-29.074,train,7.251726662013367E-4,95.38848465033733,0.979838691721037
-51.36168,-28.97045,train,7.507017211707793E-4,96.07307038119102,0.9824276110155418
-49.02556,-28.615,train,4.748631523075288E-4,82.92255790347825,0.922419624162431
-52.55337,-28.43911,train,6.00916741228272E-4,89.99856943681824,0.9606419302178669
-52.96312,-28.38825,train,5.640255343825289E-4,88.01626784196328,0.9519949598918509
-53.42187,-28.38022,train,6.152634936646759E-4,90.78385407845526,0.9635673687414223
-53.59241,-28.07206,train,6.655669302084716E-4,93.58974172978266,0.97221059876585
-49.44458,-28.07046,train,3.991458680377535E-4,77.5724630336015,0.8833776546225994
-56.34052,-28.00377,train,2.3893476305714674E-4,61.21335417960176,0.7237123761204394
-48.6425,-27.86,train,9.159321004880072E-4,98.06024715346388,0.9927803541612754
-55.52678,-27.66179,train,3.8474473169410154E-4,76.5187245969581,0.8739763145510678
-48.88257,-27.62639,train,7.055755889171597E-4,94.90068563322916,0.9775953882324322
-52.2819,-27.59655,train,5.873564663591695E-4,89.13279468148579,0.9576612306763855
-51.03946,-27.40426,train,2.579579204319679E-4,64.3971492360117,0.7506068242289945
-56.41867,-27.3333,train,3.183647807709638E-4,71.0078881262094,0.8198430472762018
-54.98128,-27.29762,train,3.9632994362895704E-4,77.26165026432447,0.8815962357225804
-52.12101,-27.29385,train,6.519906846249432E-4,93.01184149695938,0.9701034573238808
-52.96979,-27.24125,train,6.923301910075545E-4,94.5558084897782,0.9759394435477375
-52.58818,-27.23637,train,6.786044975560297E-4,94.04958301135885,0.9740942088042084
-52.76025,-27.22829,train,6.935306007420645E-4,94.58767639957246,0.9760944321971889
-53.916,-27.19921,train,5.907831782152134E-4,89.2984828410315,0.9584351280066872
-51.50732,-27.19702,train,4.7511844517560635E-4,82.95584526328831,0.9225261756256056
-53.88611,-27.14556,train,6.028166220591812E-4,90.18449095485477,0.9610424355595262
-51.2843,-27.09739,train,3.7800413259381335E-4,76.09967896334201,0.8693191492218795
-48.63607,-27.08083,train,6.334085512007943E-4,91.87429955290874,0.9669579713660784
-49.54264,-27.05416,train,6.491326305304988E-4,92.62856310749716,0.9696398993238836
-52.46346,-27.03854,train,5.95277523847217E-4,89.51972451558352,0.9594287399377728
-52.34416,-26.95935,train,5.696794378488451E-4,88.32418912844763,0.9534341220615759
-48.94076,-26.94432,train,6.526198398704924E-4,93.03916799260391,0.9702045479223023
-52.80381,-26.93708,train,7.288266034233829E-4,95.56824103631305,0.980231411284243
-55.216667,-26.916667,train,2.494539490840563E-4,62.77734622024959,0.7389238653258555
-50.77301,-26.88529,train,1.8846205703811457E-4,52.31314995771777,0.6374494746214774
-54.579444,-26.885278,train,3.79760413261252E-4,76.22966273119715,0.8705489128114561
-49.30215,-26.83001,train,6.41799560794627E-4,92.28450945976965,0.9684173764706633
-51.99244,-26.80016,train,3.3571064645836993E-4,72.75234618259277,0.8359048545187954
-52.55067,-26.66002,train,5.164398492479436E-4,85.41354402092881,0.9379782552140918
-51.78333,-26.65,train,2.334191720445388E-4,60.37827063773593,0.7153854533545339
-55.75431,-26.53633,train,2.3591430863249499E-4,60.758144617806224,0.7191830172078054
-53.891389,-26.47,train,5.691034799112733E-4,88.2903728038739,0.9532895117348473
-52.57208,-26.45986,train,4.275491936319801E-4,79.85859803852836,0.899913911883599
-48.89264,-26.45151,train,6.237458656348126E-4,91.13964268667257,0.9651936542634935
-49.2333,-26.4333,train,5.56456707711836E-4,87.79197012123416,0.9499984989994997
-48.8333,-26.3,train,8.647064761081222E-4,97.52544372670533,0.990487747875292
-55.7399,-26.2941,train,2.2999794649921422E-4,59.85678834133147,0.710094771097341
-50.25212,-26.27081,train,2.747934667763764E-4,66.32348212913453,0.7722164183192596
-54.56926,-26.19892,train,2.9370439341939113E-4,68.24214768560044,0.794265108729415
-54.35816,-26.1756,train,3.602116151156817E-4,74.58716256009674,0.8561825658689547
-53.916667,-26.133056,train,5.961154462019733E-4,89.67854970756774,0.9596113439680137
-54.41134,-26.03914,train,3.925688038255417E-4,76.95430689024194,0.8791743340140851
-48.716667,-25.983333,train,0.0010099382478749857,98.82243168219128,0.9956476286410904
-54.22803,-25.94755,train,4.4849512409868265E-4,81.04060732681388,0.9105868628965199
-54.56315,-25.88367,train,3.487346641422879E-4,73.77105424698043,0.8470163268001087
-54.32644,-25.82119,train,4.613212472773379E-4,81.75633918823016,0.9165524926415409
-48.92934,-25.77916,train,6.889927153414368E-4,94.45585820720083,0.9755032306990686
-54.4369,-25.77352,train,4.2546117360886575E-4,79.60674649183252,0.898782504887034
-54.5387,-25.76171,train,3.5717069548712625E-4,74.40488526703972,0.8538087693700096
-48.5,-25.666667,train,0.0012042075251275407,99.50788742452933,0.9984706144565759
-54.44695,-25.63554,train,4.378031672471087E-4,80.43167208979146,0.9052891935522122
-48.53442,-25.5851,train,0.001236785627137459,99.60852387586597,0.9987166410654501
-54.3313,-25.5685,train,4.5966672926803844E-4,81.62900789655542,0.9158058930805032
-54.061,-25.5609,train,4.964753091201903E-4,84.1830253431122,0.930940753714591
-49.033333,-25.55,train,4.6536078926083166E-4,82.00282061614483,0.9183476354990857
-54.35843,-25.49858,train,4.344738744978376E-4,80.25626587471196,0.9035763543133577
-54.56556,-25.49806,train,3.5895673751162654E-4,74.5132453856909,0.8552076930301157
-54.1263,-25.4929,train,4.943029152750405E-4,84.0062459544142,0.9301283541034044
-49.64969,-25.49188,train,3.736527598494302E-4,75.780787481796,0.8662217137159405
-48.816667,-25.466667,train,7.356507093036211E-4,95.68822495753331,0.9809444869235809
-48.91936,-25.44033,train,6.736189996661118E-4,93.88788458247024,0.9733894932794832
-48.533333,-25.433333,train,0.001237630121204007,99.61258104084904,0.9987224624347291
-50.59125,-25.39811,train,2.7356166817571416E-4,66.19965714979239,0.770700868629538
-49.0183,-25.3846,train,4.472710406605481E-4,80.96566213133053,0.9099956942650811
